数据日期,车系ID,车型,品牌,动力形式,价格(万元),亮点标签,6C快充标签,换电支持,ADAS配置,纯电续航里程(km)工信部,纯电续航里程(km)CLTC,电池能量密度(Wh/kg),高压快充平台,充电时间,快充时间(分钟),充电电量,快充窗口跨度(%),高压平台电压(V),电池容量(kWh),电芯品牌,电池类型,电动机,电控系统,发电机马力(Ps),缺失状态,数据状态
2026-07-09,9778,极氪ZEEKR 7X 103kWh后驱 Max版,极氪,纯电动,22.98,800V+、疑似6C级快充、超充<=12分钟、长续航700+、ADAS,疑似6C级快充,未明确显示,高配智驾版本线索,802,802,未明确显示,900V,快充10分钟 / 慢充14.7小时,10.0,10-80,70.0,900,103,时代吉利,三元锂电池,纯电动单电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,9778,极氪ZEEKR 7X 103kWh四驱 Ultra版,极氪,纯电动,22.98,800V+、疑似6C级快充、超充<=12分钟、长续航700+、ADAS,疑似6C级快充,未明确显示,高配智驾版本线索,715,715,未明确显示,900V,快充10分钟 / 慢充14.7小时,10.0,10-80,70.0,900,103,时代吉利,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:换电支持,当日采集
2026-07-09,9833,乐道L60 2025款 740km 长续航版,乐道,纯电动,23.59,800V+、长续航700+、换电,未明确显示,支持换电,未明确显示,740,740,未明确显示,900V,快充25分钟,25.0,10-80,70.0,900,85,中创新航,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:ADAS配置,当日采集
2026-07-09,9833,乐道L60 2024款 730km 长续航版,乐道,纯电动,23.18,800V+、长续航700+、换电,未明确显示,支持换电,未明确显示,730,730,未明确显示,900V,快充25分钟,25.0,10-80,70.0,900,85,中创新航,三元锂电池,未明确显示,未明确显示,未明确显示,缺失:ADAS配置,当日采集
2026-07-09,9833,乐道L60 2025款 707km 长续航四驱版,乐道,纯电动,25.59,800V+、长续航700+、换电,未明确显示,支持换电,未明确显示,707,707,未明确显示,900V,快充25分钟,25.0,10-80,70.0,900,85,中创新航,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:ADAS配置,当日采集
2026-07-09,9833,乐道L60 2024款 700km 长续航四驱版,乐道,纯电动,25.18,800V+、长续航700+、换电,未明确显示,支持换电,未明确显示,700,700,未明确显示,900V,快充25分钟,25.0,10-80,70.0,900,85,中创新航,三元锂电池,纯电动双电机,未明确显示,未明确显示,缺失:ADAS配置,当日采集
2026-07-09,9833,乐道L60 2025款 560km 标准续航版,乐道,纯电动,20.69,800V+、换电,未明确显示,支持换电,未明确显示,560,560,未明确显示,900V,快充25分钟,25.0,10-80,70.0,900,60,弗迪/宁德时代,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:ADAS配置,当日采集
2026-07-09,9833,乐道L60 2024款 555km 标准续航版,乐道,纯电动,20.28,800V+、换电,未明确显示,支持换电,未明确显示,555,555,未明确显示,900V,快充25分钟,25.0,10-80,70.0,900,60,弗迪/宁德时代,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:ADAS配置,当日采集
2026-07-09,9833,乐道L60 2025款 530km 标准续航四驱版,乐道,纯电动,22.69,800V+、换电,未明确显示,支持换电,未明确显示,530,530,未明确显示,900V,快充25分钟,25.0,10-80,70.0,900,60,弗迪/宁德时代,磷酸铁锂电池,纯电动双电机,未明确显示,未明确显示,缺失:ADAS配置,当日采集
2026-07-09,9833,乐道L60 2025款 530km 黑骑士特别版,乐道,纯电动,21.19,800V+、换电,未明确显示,支持换电,未明确显示,530,530,未明确显示,900V,快充25分钟,25.0,10-80,70.0,900,60,弗迪/宁德时代,磷酸铁锂电池,未明确显示,未明确显示,未明确显示,缺失:ADAS配置,当日采集
